ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
1007_s_at	MIR4640///DDR1	microRNA 4640///discoidin domain receptor tyrosine kinase 1	-0.698	7.478
200037_s_at	CBX3	chromobox 3	-0.39	2.626
200602_at	APP	amyloid beta precursor protein	-0.498	3.492
200606_at	DSP	desmoplakin	-0.974	9.704
200608_s_at	RAD21	RAD21 cohesin complex component	-0.676	3.945
200632_s_at	NDRG1	N-myc downstream regulated 1	0.535	2.405
200644_at	MARCKSL1	MARCKS like 1	-0.544	3.177
200649_at	NUCB1	nucleobindin 1	0.499	2.781
200653_s_at	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1	0.743	3.11
200662_s_at	TOMM20	translocase of outer mitochondrial membrane 20	-0.511	3.274
200664_s_at	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	0.454	2.446
200670_at	XBP1	X-box binding protein 1	-0.41	4.589
200671_s_at	SPTBN1	spectrin beta, non-erythrocytic 1	0.636	6.924
200675_at	CD81	CD81 molecule	0.54	3.655
200681_at	GLO1	glyoxalase I	-0.717	2.699
200696_s_at	GSN	gelsolin	0.995	6.32
200708_at	GOT2	glutamic-oxaloacetic transaminase 2	-0.595	3.537
200720_s_at	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha	0.528	3.254
200729_s_at	ACTR2	ARP2 actin related protein 2 homolog	-0.847	3.05
200736_s_at	GPX1	glutathione peroxidase 1	1.06	2.822
200754_x_at	MIR636///SRSF2	microRNA 636///serine and arginine rich splicing factor 2	-0.583	3.414
200758_s_at	NFE2L1	nuclear factor, erythroid 2 like 1	0.521	4.204
200762_at	DPYSL2	dihydropyrimidinase like 2	0.534	2.523
200770_s_at	LAMC1	laminin subunit gamma 1	0.891	5.571
200787_s_at	PEA15	phosphoprotein enriched in astrocytes 15	0.451	3.2
200795_at	SPARCL1	SPARC like 1	0.416	2.721
200821_at	LAMP2	lysosomal associated membrane protein 2	-1.029	2.966
200831_s_at	SCD	stearoyl-CoA desaturase	0.587	3.706
200843_s_at	EPRS	glutamyl-prolyl-tRNA synthetase	-0.651	2.463
200844_s_at	PRDX6	peroxiredoxin 6	0.927	8.288
200845_s_at	PRDX6	peroxiredoxin 6	0.49	3.337
200862_at	DHCR24	24-dehydrocholesterol reductase	-0.517	2.846
200878_at	EPAS1	endothelial PAS domain protein 1	1.618	7.456
200895_s_at	FKBP4	FK506 binding protein 4	-1.095	6.645
200904_at	HLA-E	major histocompatibility complex, class I, E	0.846	2.899
200910_at	LOC101927137///CCT3	uncharacterized LOC101927137///chaperonin containing TCP1 subunit 3	-0.661	3.158
200911_s_at	TACC1	transforming acidic coiled-coil containing protein 1	0.857	6.379
200920_s_at	BTG1	BTG anti-proliferation factor 1	0.719	2.685
200940_s_at	RERE	arginine-glutamic acid dipeptide repeats	0.801	2.727
200943_at	HMGN1	high mobility group nucleosome binding domain 1	-0.748	3.192
200944_s_at	LOC101927733///HMGN1	uncharacterized LOC101927733///high mobility group nucleosome binding domain 1	-0.794	8.709
200965_s_at	ABLIM1	actin binding LIM protein 1	0.519	3.445
200972_at	TSPAN3	tetraspanin 3	0.675	3.542
200973_s_at	TSPAN3	tetraspanin 3	1.58	7.201
200977_s_at	TAX1BP1	Tax1 binding protein 1	-0.487	3.067
200986_at	SERPING1	serpin family G member 1	0.989	3.952
200996_at	ACTR3	ARP3 actin related protein 3 homolog	-0.65	3.236
201005_at	CD9	CD9 molecule	-2.237	7.149
201008_s_at	TXNIP	thioredoxin interacting protein	1.137	3.749
201009_s_at	TXNIP	thioredoxin interacting protein	0.628	4.371
201010_s_at	TXNIP	thioredoxin interacting protein	0.69	4.602
201012_at	ANXA1	annexin A1	0.763	5.464
201014_s_at	PAICS	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase	-0.587	2.65
201026_at	EIF5B	eukaryotic translation initiation factor 5B	0.538	3.624
201028_s_at	CD99	CD99 molecule	0.471	3.74
201029_s_at	CD99	CD99 molecule	0.43	2.608
201030_x_at	LDHB	lactate dehydrogenase B	0.8	4.506
201031_s_at	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	-0.423	3.093
201032_at	BLCAP	bladder cancer associated protein	0.454	3.384
201035_s_at	HADH	hydroxyacyl-CoA dehydrogenase	0.618	3.342
201036_s_at	HADH	hydroxyacyl-CoA dehydrogenase	0.885	6.115
201041_s_at	DUSP1	dual specificity phosphatase 1	1.035	4.668
201058_s_at	MYL9	myosin light chain 9	1.007	4.264
201061_s_at	STOM	stomatin	0.491	3.763
201074_at	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	-0.855	4.096
201083_s_at	BCLAF1	BCL2 associated transcription factor 1	-1.076	3.364
201091_s_at	CBX3	chromobox 3	-0.766	3.19
201105_at	LGALS1	galectin 1	1.092	5.157
201106_at	GPX4	glutathione peroxidase 4	1.171	4.902
201111_at	CSE1L	chromosome segregation 1 like	-0.578	4.866
201125_s_at	ITGB5	integrin subunit beta 5	0.789	3.035
201131_s_at	CDH1	cadherin 1	-2.386	13.434
201135_at	ECHS1	enoyl-CoA hydratase, short chain 1	0.998	3.517
201136_at	PLP2	proteolipid protein 2	-0.666	3.995
201148_s_at	TIMP3	TIMP metallopeptidase inhibitor 3	0.611	2.517
201150_s_at	TIMP3	TIMP metallopeptidase inhibitor 3	0.928	4.951
201161_s_at	YBX3	Y-box binding protein 3	0.467	2.966
201202_at	PCNA	proliferating cell nuclear antigen	-1.074	5.962
201218_at	CTBP2	C-terminal binding protein 2	-0.539	2.835
201219_at	CTBP2	C-terminal binding protein 2	-0.662	3.044
201242_s_at	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	-1.206	7.61
201243_s_at	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	-1.01	9.128
201247_at	SREBF2	sterol regulatory element binding transcription factor 2	-0.593	3.697
201273_s_at	SRP9	signal recognition particle 9	-0.746	3.067
201274_at	PSMA5	proteasome subunit alpha 5	-1.244	3.771
201275_at	FDPS	farnesyl diphosphate synthase	-0.92	2.717
201277_s_at	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	-1.008	3.388
201278_at	LOC101926921///DAB2	uncharacterized LOC101926921///DAB2, clathrin adaptor protein	0.434	3.911
201286_at	SDC1	syndecan 1	-2.048	13.492
201287_s_at	SDC1	syndecan 1	-0.48	2.807
201291_s_at	TOP2A	topoisomerase (DNA) II alpha	-1.034	4.419
201301_s_at	ANXA4	annexin A4	-0.898	3.495
201307_at	SEPT11	septin 11	0.632	3.894
201324_at	EMP1	epithelial membrane protein 1	1.017	6.198
201325_s_at	EMP1	epithelial membrane protein 1	1.365	6.862
201327_s_at	CCT6A	chaperonin containing TCP1 subunit 6A	-0.729	4.781
201337_s_at	VAMP3	vesicle associated membrane protein 3	0.654	3.003
201340_s_at	ENC1	ectodermal-neural cortex 1	-1.201	5.831
201346_at	ADIPOR2	adiponectin receptor 2	0.693	4.513
201348_at	GPX3	glutathione peroxidase 3	1.436	10.447
201361_at	TMEM109	transmembrane protein 109	0.415	2.426
201363_s_at	IVNS1ABP	influenza virus NS1A binding protein	-1.169	6.279
201377_at	UBAP2L	ubiquitin associated protein 2 like	-0.682	3.596
201378_s_at	UBAP2L	ubiquitin associated protein 2 like	-0.524	3.009
201380_at	CRTAP	cartilage associated protein	0.413	4.343
201385_at	DHX15	DEAH-box helicase 15	-1.078	4.154
201409_s_at	PPP1CB	protein phosphatase 1 catalytic subunit beta	-0.705	4.024
201416_at	SOX4	SRY-box 4	-0.66	4.835
201417_at	SOX4	SRY-box 4	-2.002	9.062
201425_at	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	1.129	6.047
201426_s_at	VIM	vimentin	1.255	4.328
201427_s_at	SEPP1	selenoprotein P, plasma, 1	0.63	4.03
201432_at	CAT	catalase	0.884	8.002
201447_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	-0.414	2.464
201448_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	-1.614	7.172
201450_s_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	-1.231	8.914
201456_s_at	BUB3	BUB3, mitotic checkpoint protein	-0.414	3.009
201458_s_at	BUB3	BUB3, mitotic checkpoint protein	-0.932	3.111
201461_s_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	0.94	2.867
201464_x_at	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	0.855	4.235
201465_s_at	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	1.618	6.626
201466_s_at	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	0.676	3.542
201479_at	MIR664B///SNORA56///DKC1	microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1	-0.737	5.634
201493_s_at	PUM2	pumilio RNA binding family member 2	-0.814	5.104
201495_x_at	MYH11	myosin heavy chain 11	0.349	2.493
201498_at	USP7	ubiquitin specific peptidase 7	-0.81	2.676
201507_at	PFDN1	prefoldin subunit 1	0.604	3.185
201525_at	APOD	apolipoprotein D	0.514	3.409
201533_at	CTNNB1	catenin beta 1	-0.36	3.075
201536_at	DUSP3	dual specificity phosphatase 3	0.567	3.431
201539_s_at	FHL1	four and a half LIM domains 1	1.352	8.306
201540_at	FHL1	four and a half LIM domains 1	1.09	8.877
201561_s_at	CLSTN1	calsyntenin 1	-0.835	4.581
201596_x_at	KRT18	keratin 18	-2.626	12.652
201599_at	OAT	ornithine aminotransferase	-0.451	2.46
201629_s_at	ACP1	acid phosphatase 1, soluble	-0.57	2.751
201631_s_at	IER3	immediate early response 3	-0.614	4.026
201648_at	JAK1	Janus kinase 1	0.519	3.513
201650_at	KRT19	keratin 19	-4.742	16.503
201662_s_at	ACSL3	acyl-CoA synthetase long-chain family member 3	-0.474	2.724
201663_s_at	SMC4	structural maintenance of chromosomes 4	-0.675	2.431
201664_at	SMC4	structural maintenance of chromosomes 4	-1.393	7.02
201677_at	HMCES	5-hydroxymethylcytosine (hmC) binding, ES cell-specific	0.352	2.834
201681_s_at	DLG5	discs large MAGUK scaffold protein 5	-0.556	3.842
201689_s_at	TPD52	tumor protein D52	-1.228	5.807
201690_s_at	TPD52	tumor protein D52	-1.232	9.993
201691_s_at	TPD52	tumor protein D52	-0.755	2.595
201693_s_at	EGR1	early growth response 1	0.622	3.197
201704_at	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)	-0.712	4.829
201706_s_at	PEX19	peroxisomal biogenesis factor 19	0.812	4.461
201707_at	PEX19	peroxisomal biogenesis factor 19	0.66	2.918
201711_x_at	RANBP2	RAN binding protein 2	-0.709	3.102
201718_s_at	EPB41L2	erythrocyte membrane protein band 4.1 like 2	0.513	3.69
201719_s_at	EPB41L2	erythrocyte membrane protein band 4.1 like 2	1.268	7.874
201724_s_at	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	-0.644	3.961
